timestamp,prediction,confidence
21.48,WetSand,92.67
22.29,WetSand,92.33
23.29,WetSand,93.67
24.29,WetSand,93.33
25.3,WetSand,93.33
26.33,WetSand,92.33
27.3,WetSand,92.67
28.35,WetSand,72.33
29.38,WetSand,90.33
30.38,WetSand,87.67
31.42,WetSand,88.0
32.39,WetSand,87.33
33.38,WetSand,87.67
34.47,WetSand,69.33
35.52,WetSand,55.67
36.69,WetSand,58.67
37.82,DrySand,51.0
38.89,WetSand,50.33
39.98,WetSand,51.67
41.1,WetSand,50.0
42.18,WetSand,57.33
43.16,WetSand,67.0
44.28,WetSand,57.67
45.32,WetSand,56.33
46.37,WetSand,71.33
47.52,WetSand,74.33
48.62,DrySand,51.67
49.22,DrySand,50.0
50.2,WetSand,77.0
51.25,WetSand,97.33
52.38,WetSand,97.33
53.35,WetSand,94.67
54.47,WetSand,78.0
55.51,WetSand,69.0
56.69,WetSand,53.33
57.75,WetSand,66.67
58.79,WetSand,77.33
59.78,WetSand,86.67
60.79,WetSand,92.33
61.83,WetSand,90.33
62.94,WetSand,84.67
63.95,WetSand,87.33
64.98,WetSand,79.67
66.07,WetSand,70.0
67.08,WetSand,86.0
68.23,WetSand,93.33
69.28,WetSand,80.0
70.39,WetSand,57.0
71.44,WetSand,77.0
72.45,WetSand,90.0
73.52,WetSand,89.0
74.45,WetSand,88.67
75.46,WetSand,88.67
76.46,WetSand,87.67
77.46,WetSand,89.0
78.5,WetSand,88.67
79.46,WetSand,88.67
80.47,WetSand,88.0
81.46,WetSand,88.33
