timestamp,prediction,confidence,yaw,kp,kd
11.81,DrySand,98.17,-3.25,2.0,0.2
12.87,SoftSnow,83.6,-5.059999942779541,15.0,1.5
14.0,WetSand,74.49,-4.440000057220459,15.0,1.5
15.02,WetSand,99.24,-4.559999942779541,5.0,0.5
16.16,WetSand,99.46,-6.380000114440918,5.0,0.5
17.25,WetSand,99.33,-8.4399995803833,5.0,0.5
18.33,WetSand,96.25,-10.3100004196167,5.0,0.5
19.35,WetSand,96.12,-10.9399995803833,5.0,0.5
20.38,WetSand,72.9,-10.880000114440918,5.0,0.5
21.41,DrySand,72.4,-10.4399995803833,5.0,0.5
22.5,WetSand,60.33,-5.440000057220459,15.0,1.5
23.57,WetSand,65.47,-5.0,5.0,0.5
24.66,WetSand,99.18,-7.190000057220459,5.0,0.5
25.76,WetSand,100.0,-8.130000114440918,5.0,0.5
26.82,WetSand,100.0,-8.0600004196167,5.0,0.5
27.98,WetSand,100.0,-7.690000057220459,5.0,0.5
28.96,WetSand,100.0,-7.309999942779541,5.0,0.5
30.0,WetSand,99.9,-7.940000057220459,5.0,0.5
31.1,WetSand,100.0,-7.630000114440918,5.0,0.5
32.16,WetSand,99.99,-7.0,5.0,0.5
33.37,WetSand,99.91,-7.130000114440918,5.0,0.5
34.36,WetSand,99.99,-6.880000114440918,5.0,0.5
35.4,WetSand,100.0,-6.559999942779541,5.0,0.5
36.57,WetSand,99.99,-5.690000057220459,5.0,0.5
37.62,WetSand,100.0,-5.5,5.0,0.5
38.74,WetSand,100.0,-6.380000114440918,5.0,0.5
