timestamp,prediction,confidence,yaw,kp,kd
11.63,WetSand,99.85,9.25,2.0,0.2
12.62,WetSand,99.88,5.75,2.45,0.1
13.72,WetSand,99.87,2.440000057220459,2.45,0.1
14.8,WetSand,99.74,-0.8100000023841858,2.45,0.1
15.92,WetSand,99.69,-3.809999942779541,2.45,0.1
16.99,WetSand,99.71,-5.690000057220459,2.45,0.1
18.02,WetSand,99.6,-6.690000057220459,2.45,0.1
19.1,WetSand,99.91,-7.25,2.45,0.1
20.12,WetSand,99.92,-7.559999942779541,2.45,0.1
21.19,WetSand,99.57,-8.0,2.45,0.1
22.33,WetSand,99.53,-8.630000114440918,2.45,0.1
23.38,WetSand,97.57,-8.8100004196167,2.45,0.1
24.49,WetSand,52.65,-8.25,2.45,0.1
25.49,HardIce,56.35,-6.940000057220459,2.5,0.15
26.51,WetSand,98.89,-5.380000114440918,2.5,0.15
27.55,WetSand,99.78,-4.059999942779541,2.45,0.1
28.53,WetSand,99.82,-2.630000114440918,2.45,0.1
29.56,WetSand,99.91,-1.940000057220459,2.45,0.1
30.56,WetSand,99.3,-1.3700000047683716,2.45,0.1
31.61,WetSand,99.86,-1.440000057220459,2.45,0.1
32.74,WetSand,99.91,-2.559999942779541,2.45,0.1
33.74,WetSand,99.57,-3.809999942779541,2.45,0.1
34.86,WetSand,99.41,-4.880000114440918,2.45,0.1
