timestamp,prediction,confidence,yaw,kp,kd
10.91,DrySand,60.0,-5.130000114440918,2.0,0.2
11.85,WetSand,80.0,-5.75,2.5,0.15
12.85,WetSand,100.0,-6.130000114440918,2.45,0.1
13.94,WetSand,100.0,-6.309999942779541,2.45,0.1
14.97,WetSand,100.0,-6.25,2.45,0.1
16.12,WetSand,100.0,-5.130000114440918,2.45,0.1
17.13,WetSand,80.0,-3.309999942779541,2.45,0.1
18.15,WetSand,60.0,-2.75,2.45,0.1
19.16,HardIce,60.0,-3.059999942779541,2.5,0.15
20.15,SoftSnow,60.0,-3.380000114440918,2.5,0.15
21.22,SoftSnow,40.0,-4.309999942779541,2.5,0.15
22.32,WetSand,100.0,-4.940000057220459,2.5,0.15
23.48,WetSand,80.0,-5.690000057220459,2.45,0.1
24.6,WetSand,100.0,-7.809999942779541,2.45,0.1
25.62,WetSand,80.0,-9.75,2.45,0.1
26.67,WetSand,100.0,-8.4399995803833,2.45,0.1
27.67,WetSand,80.0,-6.940000057220459,2.45,0.1
28.66,WetSand,80.0,-6.309999942779541,2.45,0.1
29.78,WetSand,100.0,-6.380000114440918,2.45,0.1
30.96,WetSand,80.0,-5.880000114440918,2.45,0.1
32.07,WetSand,100.0,-4.440000057220459,2.45,0.1
33.18,WetSand,80.0,-2.309999942779541,2.45,0.1
34.26,WetSand,100.0,-0.5,2.45,0.1
35.36,WetSand,100.0,0.25,2.45,0.1
36.44,WetSand,100.0,-0.3100000023841858,2.45,0.1
37.47,WetSand,60.0,-1.6299999952316284,2.45,0.1
38.44,WetSand,100.0,-2.0,2.5,0.15
39.51,WetSand,100.0,-3.059999942779541,2.45,0.1
