timestamp,prediction,confidence,yaw,kp,kd
13.45,DrySand,80.0,0.05999999865889549,2.0,0.2
13.59,DrySand,100.0,0.05999999865889549,2.0,0.2
13.88,DrySand,100.0,2.809999942779541,15.0,1.5
14.46,DrySand,100.0,1.059999942779541,15.0,1.5
15.48,DrySand,100.0,-1.190000057220459,15.0,1.5
16.51,DrySand,100.0,-2.190000057220459,15.0,1.5
17.64,DrySand,100.0,-2.690000057220459,15.0,1.5
18.71,DrySand,100.0,-2.690000057220459,15.0,1.5
19.67,DrySand,100.0,-2.5,15.0,1.5
20.76,DrySand,100.0,-2.380000114440918,15.0,1.5
21.81,DrySand,100.0,-2.559999942779541,15.0,1.5
22.89,DrySand,100.0,-2.690000057220459,15.0,1.5
24.02,DrySand,100.0,-2.940000057220459,15.0,1.5
25.11,DrySand,100.0,-2.940000057220459,15.0,1.5
26.22,DrySand,100.0,-3.130000114440918,15.0,1.5
27.38,DrySand,100.0,-3.380000114440918,15.0,1.5
28.45,DrySand,100.0,-2.440000057220459,15.0,1.5
29.58,DrySand,100.0,-2.440000057220459,15.0,1.5
30.57,DrySand,100.0,-3.190000057220459,15.0,1.5
31.66,DrySand,100.0,-3.059999942779541,15.0,1.5
32.74,DrySand,100.0,-3.559999942779541,15.0,1.5
33.8,DrySand,100.0,-2.940000057220459,15.0,1.5
34.87,DrySand,100.0,-3.309999942779541,15.0,1.5
35.85,DrySand,100.0,-3.5,15.0,1.5
36.87,DrySand,100.0,-3.809999942779541,15.0,1.5
37.89,DrySand,100.0,-4.309999942779541,15.0,1.5
38.99,DrySand,100.0,-4.630000114440918,15.0,1.5
40.14,DrySand,100.0,-4.5,15.0,1.5
41.15,DrySand,100.0,-4.059999942779541,15.0,1.5
