timestamp,prediction,confidence,yaw,kp,kd
17.26,DrySand,60.0,-9.130000114440918,2.0,0.2
18.2,DrySand,100.0,-8.8100004196167,1.5,0.0
19.25,DrySand,100.0,-8.630000114440918,2.0,0.2
20.32,DrySand,80.0,-8.5,2.0,0.2
21.4,SoftSnow,60.0,-8.75,2.0,0.2
22.52,DrySand,60.0,-8.130000114440918,1.5,0.0
23.46,SoftSnow,60.0,-8.0600004196167,1.5,0.0
24.48,WetSand,60.0,-8.3100004196167,1.5,0.0
25.49,WetSand,60.0,-9.6899995803833,1.5,0.0
26.49,WetSand,60.0,-10.5,1.5,0.0
27.5,WetSand,100.0,-10.6899995803833,1.5,0.0
28.61,WetSand,60.0,-9.6899995803833,2.0,0.2
29.62,WetSand,60.0,-8.880000114440918,1.5,0.0
30.7,WetSand,60.0,-7.940000057220459,1.5,0.0
31.73,WetSand,80.0,-6.940000057220459,1.5,0.0
32.77,WetSand,60.0,-5.809999942779541,2.0,0.2
33.87,WetSand,100.0,-4.690000057220459,1.5,0.0
34.96,WetSand,80.0,-3.25,2.0,0.2
36.08,WetSand,80.0,-2.5,2.0,0.2
37.18,WetSand,100.0,-2.690000057220459,2.0,0.2
38.28,WetSand,100.0,-2.5,2.0,0.2
39.43,WetSand,100.0,-2.0,2.0,0.2
40.44,WetSand,60.0,-1.6299999952316284,2.0,0.2
41.56,DrySand,40.0,-1.190000057220459,1.5,0.0
42.65,DrySand,40.0,-0.75,1.5,0.0
