timestamp,prediction,confidence,yaw,kp,kd
15.28,WetSand,57.33,4.630000114440918,2.0,0.2
16.18,WetSand,82.67,5.25,1.5,0.0
17.24,WetSand,71.0,4.440000057220459,2.0,0.2
18.24,WetSand,74.67,4.0,1.5,0.0
19.4,WetSand,79.0,2.690000057220459,1.5,0.0
20.42,WetSand,62.33,2.380000114440918,2.0,0.2
22.16,WetSand,58.33,2.380000114440918,1.5,0.0
23.26,WetSand,57.67,2.25,1.5,0.0
24.28,WetSand,87.67,2.5,1.5,0.0
25.4,WetSand,97.0,2.309999942779541,2.0,0.2
26.37,WetSand,97.0,1.1200000047683716,2.0,0.2
27.42,WetSand,95.33,0.11999999731779099,2.0,0.2
28.42,WetSand,90.67,-1.190000057220459,2.0,0.2
29.5,WetSand,81.0,-0.3100000023841858,2.0,0.2
30.73,WetSand,53.33,0.3100000023841858,2.0,0.2
31.81,WetSand,56.67,0.11999999731779099,1.5,0.0
32.83,WetSand,91.67,-0.3100000023841858,1.5,0.0
33.89,WetSand,96.0,-1.309999942779541,2.0,0.2
34.91,WetSand,96.67,-2.0,2.0,0.2
36.05,WetSand,69.0,-2.690000057220459,2.0,0.2
37.1,WetSand,64.0,-2.130000114440918,1.5,0.0
38.11,WetSand,78.0,-1.809999942779541,1.5,0.0
39.11,WetSand,77.67,-1.809999942779541,2.0,0.2
40.19,WetSand,65.67,-0.25,2.0,0.2
41.24,WetSand,71.67,0.8799999952316284,1.5,0.0
42.22,WetSand,87.0,0.6899999976158142,1.5,0.0
43.19,WetSand,92.67,0.5,2.0,0.2
44.21,WetSand,89.33,0.5,2.0,0.2
