timestamp,prediction,confidence,yaw,kp,kd
19.91,WetSand,78.33,6.309999942779541,2.0,0.2
20.25,WetSand,85.0,2.630000114440918,2.0,0.2
20.62,DrySand,75.33,2.0,5.0,0.5
21.65,DrySand,78.0,2.5,15.0,1.5
22.71,WetSand,62.0,-1.190000057220459,15.0,1.5
23.76,WetSand,92.67,-3.309999942779541,5.0,0.5
24.87,WetSand,96.67,-4.559999942779541,5.0,0.5
25.94,WetSand,98.0,-4.380000114440918,5.0,0.5
27.07,WetSand,98.0,-5.25,5.0,0.5
28.1,WetSand,97.33,-6.190000057220459,5.0,0.5
29.12,WetSand,97.67,-6.130000114440918,5.0,0.5
30.16,WetSand,98.0,-6.440000057220459,5.0,0.5
31.18,WetSand,98.0,-6.559999942779541,5.0,0.5
32.19,WetSand,98.0,-6.630000114440918,5.0,0.5
33.21,WetSand,97.33,-7.25,5.0,0.5
34.3,WetSand,97.67,-7.380000114440918,5.0,0.5
35.41,WetSand,97.67,-7.0,5.0,0.5
36.39,WetSand,98.0,-6.940000057220459,5.0,0.5
37.41,WetSand,98.0,-6.880000114440918,5.0,0.5
38.39,WetSand,96.33,-7.130000114440918,5.0,0.5
39.43,WetSand,96.67,-5.940000057220459,5.0,0.5
40.51,WetSand,81.0,-3.309999942779541,5.0,0.5
41.49,WetSand,82.33,-4.190000057220459,5.0,0.5
42.5,WetSand,96.67,-4.940000057220459,5.0,0.5
43.51,WetSand,96.67,-4.5,5.0,0.5
44.51,WetSand,98.0,-4.5,5.0,0.5
45.58,WetSand,97.67,-2.75,5.0,0.5
46.51,WetSand,97.67,-1.440000057220459,5.0,0.5
47.52,WetSand,97.67,-1.690000057220459,5.0,0.5
48.52,WetSand,98.0,-2.380000114440918,5.0,0.5
49.6,WetSand,98.0,-2.190000057220459,5.0,0.5
50.66,WetSand,98.0,-2.0,5.0,0.5
51.66,WetSand,98.0,-2.059999942779541,5.0,0.5
