timestamp,prediction,confidence,yaw,kp,kd
12.72,WetSand,81.67,-2.190000057220459,2.0,0.2
13.69,WetSand,87.33,-0.5,2.0,0.2
14.72,WetSand,86.0,-0.3700000047683716,2.0,0.2
15.73,WetSand,87.67,-0.3700000047683716,2.0,0.2
16.7,WetSand,88.33,-0.5,2.0,0.2
17.87,WetSand,89.67,-0.1899999976158142,2.0,0.2
18.87,WetSand,88.67,-0.3700000047683716,2.0,0.2
19.88,WetSand,89.33,-0.5600000023841858,2.0,0.2
20.95,WetSand,88.0,-1.190000057220459,2.0,0.2
22.0,WetSand,87.67,-1.559999942779541,2.0,0.2
23.07,WetSand,85.0,-1.440000057220459,2.0,0.2
24.05,WetSand,90.67,-2.130000114440918,2.0,0.2
25.21,WetSand,87.67,-2.190000057220459,2.0,0.2
26.33,WetSand,88.67,-2.559999942779541,2.0,0.2
27.4,WetSand,90.67,-3.130000114440918,2.0,0.2
28.61,WetSand,91.0,-3.309999942779541,2.0,0.2
29.73,WetSand,88.0,-4.0,2.0,0.2
30.81,WetSand,92.0,-5.0,2.0,0.2
31.9,WetSand,90.67,-5.75,2.0,0.2
33.02,WetSand,90.67,-4.940000057220459,2.0,0.2
34.17,WetSand,86.33,-2.880000114440918,2.0,0.2
35.27,WetSand,87.33,-1.5,2.0,0.2
36.43,WetSand,86.67,0.11999999731779099,2.0,0.2
37.6,WetSand,88.33,1.0,2.0,0.2
38.69,WetSand,85.67,1.1200000047683716,2.0,0.2
39.77,WetSand,85.0,1.809999942779541,2.0,0.2
40.81,WetSand,86.67,1.75,2.0,0.2
41.84,WetSand,91.0,2.309999942779541,2.0,0.2
42.87,WetSand,88.33,2.130000114440918,2.0,0.2
43.9,WetSand,91.67,1.690000057220459,2.0,0.2
