timestamp,prediction,confidence,yaw,kp,kd
12.82,DrySand,49.33,-0.9399999976158142,2.0,0.2
13.74,DrySand,53.33,-0.5,1.5,0.0
14.73,WetSand,65.67,-0.05999999865889549,1.5,0.0
15.76,WetSand,98.67,0.5,1.5,0.0
16.78,WetSand,47.33,-0.0,2.0,0.2
17.94,DrySand,75.67,0.3700000047683716,1.5,0.0
18.89,DrySand,68.33,1.5,2.0,0.2
19.9,WetSand,78.67,2.309999942779541,1.5,0.0
20.91,WetSand,74.0,2.5,2.0,0.2
21.92,WetSand,48.33,2.059999942779541,1.5,0.0
23.06,DrySand,60.33,1.690000057220459,1.5,0.0
24.16,DrySand,95.33,1.440000057220459,1.5,0.0
25.25,DrySand,82.0,1.190000057220459,2.0,0.2
26.28,DrySand,55.0,0.75,2.0,0.2
27.33,DrySand,35.0,0.5600000023841858,1.5,0.0
28.54,DrySand,90.67,-0.6299999952316284,1.5,0.0
29.6,DrySand,88.33,-2.380000114440918,2.0,0.2
30.66,DrySand,71.0,-6.380000114440918,2.0,0.2
31.69,DrySand,37.33,-8.9399995803833,1.5,0.0
32.77,HardIce,54.33,-8.75,1.5,0.0
33.87,HardIce,74.67,-7.809999942779541,1.5,0.0
34.8,WetSand,94.0,-7.690000057220459,1.5,0.0
35.84,WetSand,71.33,-6.559999942779541,2.0,0.2
36.87,WetSand,66.67,-6.559999942779541,1.5,0.0
37.91,WetSand,68.67,-7.190000057220459,1.5,0.0
38.99,WetSand,50.33,-7.5,1.5,0.0
39.94,WetSand,67.67,-7.380000114440918,1.5,0.0
40.98,WetSand,90.33,-8.6899995803833,1.5,0.0
41.99,WetSand,99.0,-9.5,2.0,0.2
42.99,WetSand,65.67,-9.9399995803833,2.0,0.2
44.05,WetSand,70.0,-10.1899995803833,1.5,0.0
45.02,WetSand,57.33,-10.4399995803833,1.5,0.0
