timestamp,prediction,confidence,yaw,kp,kd
13.0,DrySand,81.83,4.630000114440918,2.0,0.2
13.97,DrySand,93.85,3.5,15.0,2.5
15.01,DrySand,85.19,-0.8100000023841858,4.5,0.9
16.01,WetSand,91.75,-2.25,15.0,2.5
17.01,WetSand,93.0,-3.690000057220459,4.5,0.9
18.06,WetSand,62.21,-5.559999942779541,4.5,0.9
19.04,SoftSnow,48.6,-4.190000057220459,15.0,2.5
20.08,HardIce,63.37,-3.440000057220459,15.0,2.5
21.09,HardIce,63.58,-3.0,15.0,2.5
22.13,SoftSnow,39.52,-2.690000057220459,15.0,2.5
23.18,SoftSnow,83.77,-2.5,15.0,2.5
24.17,WetSand,63.63,-2.25,15.0,2.5
25.17,SoftSnow,57.09,-2.630000114440918,15.0,2.5
26.2,HardIce,54.64,-2.75,15.0,2.5
27.2,SoftSnow,64.97,-3.25,15.0,2.5
28.31,DrySand,34.6,-3.059999942779541,15.0,2.5
29.29,WetSand,75.48,-2.880000114440918,15.0,2.5
30.38,WetSand,99.35,-2.5,15.0,2.5
31.46,WetSand,99.59,-5.440000057220459,4.5,0.9
