timestamp,prediction,confidence,yaw,kp,kd
13.71,DrySand,90.66,-0.0,2.0,0.2
13.95,DrySand,90.66,-1.0,3.2,0.2
14.15,DrySand,90.66,-0.3100000023841858,3.2,0.2
14.9,DrySand,90.66,-0.25,3.2,0.2
15.94,DrySand,90.66,0.75,3.2,0.2
16.94,DrySand,90.66,0.8100000023841858,3.2,0.2
18.08,DrySand,90.66,-3.190000057220459,3.2,0.2
19.12,DrySand,90.66,-5.940000057220459,3.2,0.2
20.08,DrySand,90.66,-7.559999942779541,3.2,0.2
21.08,DrySand,90.66,-7.880000114440918,3.2,0.2
22.1,DrySand,90.66,-8.0,3.2,0.2
23.11,DrySand,90.66,-8.130000114440918,3.2,0.2
24.16,DrySand,90.66,-8.130000114440918,3.2,0.2
25.11,DrySand,90.66,-8.130000114440918,3.2,0.2
26.11,DrySand,90.66,-8.75,3.2,0.2
27.11,DrySand,90.66,-9.75,3.2,0.2
28.11,DrySand,90.66,-10.380000114440918,3.2,0.2
29.11,DrySand,90.66,-10.9399995803833,3.2,0.2
30.16,DrySand,90.66,-10.75,3.2,0.2
31.21,DrySand,90.66,-9.0,3.2,0.2
32.34,DrySand,90.66,-6.0,3.2,0.2
33.44,DrySand,90.66,-6.25,3.2,0.2
34.55,DrySand,90.66,-6.440000057220459,3.2,0.2
35.69,DrySand,90.66,-7.309999942779541,3.2,0.2
36.78,DrySand,90.66,-7.809999942779541,3.2,0.2
37.9,DrySand,90.66,-7.75,3.2,0.2
38.99,DrySand,90.66,-7.809999942779541,3.2,0.2
40.09,DrySand,90.66,-7.690000057220459,3.2,0.2
41.24,DrySand,90.66,-7.380000114440918,3.2,0.2
42.31,DrySand,90.66,-7.0,3.2,0.2
