timestamp_ns,time_ms,voltage_left,current_left_a,voltage_right,current_right_a,motor_current_left,motor_current_right,euler_x,euler_y,euler_z,acc_lin_x,acc_lin_y,acc_lin_z,sonar_mm,tof_mm,rpm_left,rpm_right,rotations_left,rotations_right
1764887148509097441,1768,9.58,4.3,11.096,0.5,0.02,0.0,0.0,13.94,9.25,-0.04,0.02,-0.27,12053.36,177.0,0.0,0.0,0.0,
1764887148619675904,1887,9.576,3.5,11.088,0.9,-0.02,-0.18,0.0,13.94,9.25,0.0,0.0,-0.04,12053.36,177.0,0.0,0.0,0.0,
1764887148738465478,1998,11.084,3.9,9.76,1.1,-0.02,-0.1,0.0,13.94,9.25,0.0,0.01,-0.03,12054.22,177.0,0.0,0.0,0.0,
1764887148880499663,2116,9.316,4.7,10.12,0.8,-0.06,0.06,0.0,13.94,9.25,0.0,0.0,-0.03,12052.5,177.0,0.0,0.0,0.0,
1764887148980126996,2238,11.028,4.2,11.092,0.1,0.0,-0.14,0.0,13.94,9.25,0.02,-0.01,0.0,12053.19,177.0,0.0,0.0,0.0,
1764887149094871274,2357,11.092,4.1,9.78,0.5,0.0,-0.14,0.0,13.94,9.25,0.0,0.03,-0.04,12053.53,177.0,0.0,0.0,0.0,
1764887149213602903,2471,9.392,4.8,11.1,-0.1,-0.12,-0.02,0.0,13.94,9.25,0.0,0.01,0.0,12054.05,177.0,0.0,0.0,0.0,
1764887149336448700,2590,9.32,4.7,11.092,0.4,-0.04,-0.04,0.0,13.94,9.25,0.0,0.0,0.0,12053.19,178.0,0.0,0.0,0.0,
1764887149459327496,2713,9.312,4.1,9.944,0.8,-0.1,-0.12,0.0,13.94,9.25,-0.01,0.0,-0.03,12053.88,176.0,0.0,0.0,0.0,
1764887149574052236,2838,9.528,4.5,11.096,0.2,-0.04,0.0,0.0,13.94,9.25,0.02,0.0,-0.05,12053.88,176.0,0.0,0.0,0.0,
1764887149788465810,2951,10.94,4.3,11.088,0.0,0.06,-0.06,0.0,13.94,9.25,0.0,0.0,-0.03,12053.71,176.0,0.0,0.0,0.0,
1764887149811602310,3069,9.328,4.9,11.096,0.2,-0.04,0.0,0.0,13.94,9.25,-0.01,0.01,-0.02,12053.02,177.0,0.0,0.0,0.0,
1764887149934490421,3188,9.396,4.8,11.096,0.3,0.0,-0.18,0.0,13.94,9.25,0.01,0.0,-0.01,12053.36,177.0,0.0,0.0,0.0,
1764887150045065977,3311,9.36,4.7,11.096,0.1,0.0,-0.1,0.0,13.94,9.25,0.0,0.0,-0.04,12054.39,177.0,0.0,0.0,0.0,
1764887150163860588,3424,9.588,4.1,11.092,0.2,-0.18,-0.12,0.0,13.94,9.25,0.01,0.0,-0.02,12053.02,177.0,0.0,0.0,0.0,
1764887150282592681,3543,9.516,3.9,9.788,1.1,0.08,0.06,0.0,13.94,9.25,0.0,0.0,-0.03,12053.19,178.0,0.0,0.0,0.0,
1764887150405500847,3662,9.336,4.9,11.1,0.1,0.0,-0.04,0.0,13.94,9.25,-0.01,0.0,-0.03,12052.68,176.0,0.0,0.0,0.0,
1764887150520201384,3782,9.392,4.9,11.096,0.2,0.02,-0.23,0.0,13.94,9.25,0.0,0.01,-0.02,12053.71,176.0,0.0,0.0,0.0,
1764887150638968995,3898,11.092,4.0,9.948,0.9,0.02,-0.06,0.0,13.94,9.25,0.0,0.01,-0.02,12054.56,177.0,0.0,0.0,0.0,
1764887150757757310,4017,11.084,4.5,11.088,1.2,0.04,-0.04,0.0,13.94,9.25,0.0,-0.03,-0.03,12054.05,177.0,0.0,0.0,0.0,
1764887150876532347,4137,11.092,4.3,9.76,1.3,0.06,-0.04,0.0,13.94,9.25,0.0,0.0,-0.03,12053.71,177.0,0.0,0.0,0.0,
1764887150991218365,4256,11.096,3.8,11.092,0.1,0.06,-0.04,0.0,13.94,9.25,0.0,0.01,-0.04,12054.39,177.0,0.0,0.0,0.0,
1764887151114077143,4371,9.364,4.9,11.092,0.3,-0.04,-0.02,0.0,13.94,9.25,0.01,-0.01,-0.03,12054.91,177.0,0.0,0.0,0.0,
1764887151228748624,4492,9.34,4.9,11.092,0.0,0.0,-0.08,0.0,13.94,9.25,0.0,0.0,-0.01,12051.82,177.0,0.0,0.0,0.0,
1764887151347540995,4610,11.092,4.1,11.088,0.1,-0.02,-0.1,0.0,13.94,9.25,0.0,0.01,-0.03,12052.68,177.0,0.0,0.0,0.0,
1764887151462250735,4727,11.032,4.6,11.088,0.3,-0.06,0.06,0.0,13.94,9.25,0.0,0.0,-0.04,12053.53,177.0,0.0,0.0,0.0,
1764887151589230902,4841,9.332,4.7,11.092,0.3,-0.18,-0.1,0.0,13.94,9.25,-0.01,0.0,-0.03,12052.68,178.0,0.0,0.0,0.0,
1764887151707956013,4970,9.384,4.6,9.916,0.7,0.1,-0.16,0.0,13.94,9.25,0.0,0.01,-0.01,12051.99,176.0,0.0,0.0,0.0,
1764887151856476939,5090,9.528,4.4,11.092,0.1,-0.04,0.0,0.0,13.94,9.25,0.0,0.0,-0.04,12053.19,176.0,0.0,0.0,0.0,
1764887151945560976,5210,9.608,4.1,11.096,0.3,-0.1,-0.12,0.0,13.94,9.25,0.01,0.01,-0.03,12052.85,176.0,0.0,0.0,0.0,
1764887152168472642,5324,9.516,4.3,11.096,0.1,-0.12,-0.02,0.0,13.94,9.25,-0.01,0.0,-0.03,12054.05,177.0,0.0,0.0,0.0,
1764887152187243494,5444,11.092,4.2,9.752,0.2,-0.02,-0.08,0.0,13.94,9.25,0.01,0.0,-0.05,12052.85,176.0,0.0,0.0,0.0,
1764887152305949994,5568,9.412,4.5,11.092,0.1,-0.04,-0.1,0.0,13.94,9.25,0.0,0.01,-0.03,12051.48,177.0,0.0,0.0,0.0,
1764887152428887401,5687,9.364,4.8,11.092,0.2,0.04,-0.04,0.0,13.94,9.25,0.0,0.02,-0.03,12050.79,177.0,0.0,0.0,0.0,
1764887152543529772,5808,9.324,4.6,11.088,0.2,-0.04,0.0,0.0,13.94,9.25,0.0,0.01,-0.03,12049.42,177.0,0.0,0.0,0.0,
1764887152776474772,5926,9.396,4.6,9.932,0.1,0.12,-0.14,0.0,13.94,9.25,0.0,0.0,-0.01,12049.25,177.0,0.0,0.0,0.0,
