timestamp_ns,time_ms,voltage_left,current_left_ma,voltage_right,current_right_ma,motor_current_left,motor_current_right,euler_x,euler_y,euler_z,acc_lin_x,acc_lin_y,acc_lin_z,sonar_mm,tof_mm,rpm_left,rpm_right,rotations_left,rotations_right
1772144556080335035,3243,8.96,1.0,10.724,-0.8,0.0,-0.08,-0.06,9.63,11.5,-0.01,0.0,-0.02,173.39,185.0,0.0,0.0,0.0,
1772144556195202626,4115,8.964,1.9,10.72,-1.3,1.64,1.21,-0.06,9.63,11.5,0.01,0.01,-0.03,177.5,185.0,0.29,0.19,0.0,0.0
1772144556281004450,4215,9.208,170.0,9.052,-126.5,2.46,3.63,-0.25,9.38,11.44,-2.69,-0.53,2.95,217.29,184.0,48.48,43.38,0.0,0.0
1772144556383388039,4316,9.94,113.5,9.992,-148.7,2.64,2.07,-1.56,9.56,11.44,0.83,0.41,-0.34,194.82,188.0,55.58,44.63,0.0,0.0
1772144556481690958,4416,9.236,144.3,9.988,-120.1,2.19,2.68,-2.31,9.75,11.56,0.09,0.23,-0.17,229.3,188.0,53.75,43.89,0.0,0.0
1772144556584059825,4516,10.144,131.4,9.384,-114.7,2.77,2.32,-2.56,9.94,11.56,-0.2,-0.27,0.21,172.53,193.0,52.73,42.5,0.0,0.0
1772144556682346022,4616,9.744,135.8,10.116,-104.0,1.86,3.03,-2.88,10.13,11.5,-0.34,-0.22,0.79,198.94,195.0,54.73,42.1,0.0,0.0
1772144556827157797,4716,9.484,129.5,9.764,-104.7,1.07,2.48,-3.25,10.38,11.5,0.08,0.03,-0.12,185.39,195.0,56.14,41.65,0.0,0.0
1772144556883122527,4816,10.376,154.6,10.524,-146.1,2.07,2.6,-3.5,10.63,11.44,0.31,0.27,-0.07,205.46,197.0,54.3,40.13,0.0,0.0
1772144557001843573,4916,9.744,135.6,9.76,-148.5,2.97,3.4,-3.56,10.88,11.44,0.02,0.01,-0.34,11870.37,197.0,52.63,40.1,0.0,0.0
1772144557100115345,5036,9.812,144.6,10.392,-178.6,3.52,3.61,-3.69,11.06,11.5,-0.31,-0.25,0.17,164.13,197.0,47.59,36.61,0.0,0.0
1772144557223008597,5135,9.58,134.8,10.02,-153.0,3.03,3.2,-3.69,11.06,11.5,0.18,-0.11,0.11,11874.32,198.0,49.08,38.49,0.0,0.0
1772144557341794103,5256,10.404,138.8,9.132,-153.6,2.66,2.54,-3.56,11.06,11.5,-0.24,0.03,-0.2,11871.23,198.0,49.12,40.7,0.0,0.0
1772144557444194566,5377,10.376,121.1,10.484,-159.2,3.46,2.83,-3.44,11.06,11.5,-0.09,0.13,0.09,218.83,198.0,50.52,41.17,0.0,0.0
1772144557542503764,5476,10.452,113.9,10.448,-170.6,2.89,2.11,-3.38,11.25,11.5,0.04,0.0,0.13,177.85,196.0,50.05,43.69,0.0,0.0
1772144557644853914,5576,10.576,135.9,10.068,-183.8,3.54,4.1,-3.31,11.44,11.5,0.0,-0.04,0.08,205.29,196.0,50.52,45.47,0.0,0.0
1772144557791171514,5677,10.22,132.5,9.748,-178.5,3.26,2.21,-3.5,11.63,11.5,0.16,-0.35,-0.08,207.0,196.0,50.52,51.41,0.0,0.0
1772144557866068993,5777,10.112,155.8,10.44,-196.8,3.05,3.28,-3.44,11.69,11.44,0.06,0.09,-0.84,11870.71,196.0,51.0,39.94,0.0,0.0
1772144557988925209,5900,10.404,135.9,10.092,-184.0,2.79,3.4,-3.25,11.81,11.38,0.03,-0.02,-0.18,11872.26,197.0,50.93,40.74,0.0,0.0
1772144558087224581,6021,10.512,122.7,9.848,-160.6,3.71,2.91,-3.06,11.94,11.38,0.06,0.1,-0.1,168.93,197.0,49.53,42.93,0.0,0.0
1772144558189655249,6121,9.924,120.0,10.252,-148.5,2.91,2.15,-3.06,12.0,11.31,0.1,-0.38,-0.02,155.72,197.0,49.8,44.37,0.0,0.0
1772144558287918133,6221,10.38,154.8,9.672,-146.9,2.93,2.44,-2.81,12.0,11.25,0.09,0.47,-0.43,150.06,196.0,49.58,42.5,0.0,0.0
1772144558386163720,6321,10.176,140.5,10.32,-155.7,2.5,3.03,-2.63,11.88,11.25,0.18,-0.13,0.09,157.27,196.0,49.27,41.21,0.0,0.0
1772144558488529020,6421,10.056,150.9,10.14,-162.8,3.2,3.38,-2.69,11.81,11.25,-0.28,0.15,0.37,141.83,196.0,47.66,41.31,0.0,0.0
1772144558586836106,6521,10.12,218.1,10.28,-198.3,3.26,3.01,-2.63,11.69,11.31,-0.32,-0.26,0.79,209.4,195.0,48.84,37.89,2.0,0.0
1772144558705608978,6621,8.876,187.5,10.428,-211.9,3.65,3.98,-2.38,11.63,11.25,-0.36,-0.14,0.5,11213.18,195.0,48.99,33.68,2.0,0.0
1772144558803940545,6737,9.612,214.8,9.676,-157.0,2.83,4.24,-1.88,11.69,11.25,-0.02,-0.3,0.45,179.39,195.0,48.65,33.68,2.0,0.0
1772144558906298734,6837,10.496,191.1,9.932,-202.3,3.59,4.14,-1.31,11.75,11.25,-0.07,0.33,0.86,198.6,192.0,50.52,36.09,2.0,0.0
1772144559111125908,6937,9.388,151.1,10.336,-159.8,2.85,3.52,-0.94,11.81,11.25,0.0,0.18,-0.24,11864.88,189.0,50.52,43.09,2.0,2.0
1772144559127498142,7058,10.34,396.8,10.46,-138.5,3.2,2.07,-0.69,12.06,11.19,0.5,-0.25,-0.43,168.07,189.0,51.96,55.54,2.0,2.0
1772144559250435072,7158,10.0,149.9,10.196,-202.1,3.48,3.18,-0.63,12.31,11.13,0.21,0.11,-0.32,11871.23,189.0,50.43,42.82,2.0,2.0
1772144559348596567,7283,10.248,153.2,9.916,-182.7,2.91,3.01,-0.31,12.44,11.06,0.11,-0.03,0.02,154.35,189.0,49.9,40.54,2.0,2.0
1772144559451042419,7383,9.812,162.9,9.304,-185.0,3.55,3.34,0.06,12.44,11.0,0.13,0.23,-0.91,166.87,189.0,49.8,39.84,2.0,2.0
1772144559549331170,7482,9.856,168.7,10.064,-163.1,2.89,2.91,0.37,12.38,10.94,0.31,-0.3,0.38,159.32,189.0,51.01,43.72,2.0,2.0
1772144559647625716,7581,9.188,124.1,9.74,-200.6,4.06,3.09,0.31,12.31,10.94,-0.06,0.0,0.04,139.09,189.0,49.27,45.69,2.0,2.0
1772144559750019237,7681,10.096,172.2,10.068,-154.4,3.09,2.83,0.12,12.19,11.0,0.14,0.0,0.07,171.67,188.0,48.92,46.51,2.0,2.0
1772144559848317968,7781,10.36,184.3,9.676,-148.4,2.79,2.5,0.12,12.13,11.0,0.03,0.08,0.02,160.7,189.0,50.52,42.94,2.0,2.0
1772144559950710285,7881,10.088,141.5,10.316,-157.4,2.75,2.4,0.19,12.13,11.0,-0.18,-0.1,-0.01,151.78,189.0,48.75,41.66,2.0,2.0
1772144560069491379,7982,9.672,140.3,10.548,-173.1,3.4,2.25,0.31,12.13,10.94,-0.05,-0.16,-0.26,11872.6,187.0,49.28,43.06,2.0,2.0
1772144560184166720,8101,10.028,195.1,9.372,-192.8,3.32,3.05,0.81,12.06,10.88,-0.35,0.07,0.54,10227.57,187.0,50.07,38.69,2.0,2.0
1772144560286630903,8217,10.316,202.0,10.104,-153.3,2.6,2.83,1.25,12.13,10.94,-0.3,0.04,0.03,166.53,187.0,48.84,38.73,2.0,2.0
1772144560384875334,8317,10.364,161.0,10.492,-185.7,3.36,2.48,1.63,12.25,10.88,0.12,0.04,-0.06,155.21,185.0,50.05,44.49,2.0,2.0
1772144560487305647,8417,10.508,197.5,10.048,-138.9,2.44,2.95,2.19,12.44,10.69,-3.14,1.93,1.06,169.27,183.0,47.15,43.79,2.0,2.0
1772144560606025708,8517,9.172,190.7,9.304,-141.8,3.2,3.03,2.38,12.56,10.69,-0.04,-0.1,0.05,11872.77,182.0,50.03,42.6,2.0,2.0
