timestamp_ns,fix_time,fix_date,gga_fix_quality,avg_snr,latitude,longitude,altitude_m,speed_over_ground,true_course,num_of_fix_satellites,hdop,vdop,pdop,geoid_separation
1774901499241511200,01:28:27.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901499244669766,01:28:28.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901499246094738,01:28:29.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901499248938162,01:28:30.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901499250561241,01:28:31.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901499252891935,01:28:32.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901499255210351,01:28:33.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901499259707779,01:28:34.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901499262032936,01:28:35.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901499266546550,01:28:36.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901499303675027,01:28:37.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901499304410290,01:28:38.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901499312684661,01:28:39.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901499314354998,01:28:40.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901499316857818,01:28:41.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901499318313752,01:28:42.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901499325056024,01:28:43.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901499325774046,01:28:44.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901499333397671,01:28:45.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901499334905567,01:28:46.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901499406792402,01:28:47.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901499411282386,01:28:48.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901499413083961,01:28:49.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901499415141846,01:28:50.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901499416033272,01:28:51.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901499419246504,01:28:52.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901499420101246,01:28:53.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901499423990298,01:28:54.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901499426066404,01:28:55.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901499427672427,01:28:56.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901499428499541,01:28:57.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901499432337371,01:28:58.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901499436054704,01:28:59.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901499438091718,01:29:00.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901499628064036,01:29:01.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901500626066056,01:29:02.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901501625342392,01:29:03.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901502624793175,01:29:04.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901503623991415,01:29:05.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901504627625074,01:29:06.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901505626859846,01:29:07.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901506623515047,01:29:08.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901507625461427,01:29:09.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901508626510887,01:29:10.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901509624586597,01:29:11.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901510625724199,01:29:12.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901511628748844,01:29:13.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901512628879033,01:29:14.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901513631999153,01:29:15.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901514631606735,01:29:16.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901515630674075,01:29:17.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901516629946954,01:29:18.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901517632899565,01:29:19.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901518632498449,01:29:20.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901519636771935,01:29:21.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901520635501293,01:29:22.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901521635482002,01:29:23.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901522638158276,01:29:24.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901523642028201,01:29:25.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901524640790228,01:29:26.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901525630551486,01:29:27.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1774901526643921561,01:29:28.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
