timestamp_ns,time_ms,voltage_left,current_left_ma,voltage_right,current_right_ma,motor_current_left,motor_current_right,euler_x,euler_y,euler_z,acc_lin_x,acc_lin_y,acc_lin_z,gyro_x,gyro_y,gyro_z,sonar_mm,tof_mm,rpm_left,rpm_right,rotations_left,rotations_right
1776370195702312855,1904,0.0,0.2,0.0,0.4,0.04,0.1,0.06,-1.69,4.19,0.01,-0.01,-0.34,-0.06,-0.0,0.0,218.66,192.0,0.0,0.0,0.0,0.0
1776370195804730327,2003,0.004,0.3,0.0,1.1,0.0,-0.04,0.06,-1.69,4.19,0.02,-0.01,-0.35,0.06,-0.06,-0.06,218.49,201.0,0.0,0.0,0.0,0.0
1776370195913078152,2104,0.0,0.4,0.0,0.6,-0.1,-0.14,0.06,-1.69,4.19,0.01,-0.0,-0.37,-0.0,-0.06,-0.06,214.38,201.0,0.0,0.0,0.0,0.0
1776370196005430156,2204,0.004,0.1,0.0,0.5,0.02,-0.04,0.06,-1.69,4.19,0.02,-0.0,-0.35,-0.0,-0.0,0.0,214.38,186.0,0.0,0.0,0.0,0.0
1776370196107821547,2305,0.0,0.5,0.0,0.7,-0.04,0.0,0.06,-1.69,4.19,0.01,-0.0,-0.35,-0.19,-0.12,-0.06,218.49,197.0,0.0,0.0,0.0,0.0
1776370196206098249,2405,0.0,0.4,0.028,1.1,0.12,-0.08,0.06,-1.69,4.19,0.01,-0.0,-0.36,0.06,0.12,0.0,214.38,197.0,0.0,0.0,0.0,0.0
1776370196308533140,2506,0.048,0.2,0.0,0.6,-0.08,-0.06,0.06,-1.69,4.19,0.03,-0.02,-0.33,-0.0,-0.06,0.0,213.17,193.0,0.0,0.0,0.0,0.0
1776370196406836250,2607,0.024,0.1,0.0,1.2,0.02,-0.02,0.06,-1.69,4.19,0.0,0.01,-0.33,-0.0,0.06,0.06,218.49,188.0,0.0,0.0,0.0,0.0
1776370196509223455,2707,0.016,0.3,0.02,0.1,-0.08,-0.08,0.06,-1.69,4.19,0.03,-0.0,-0.35,0.06,-0.0,0.0,214.38,188.0,0.0,0.0,0.0,0.0
1776370196607483731,2807,0.016,0.1,0.0,1.0,0.06,-0.06,0.06,-1.69,4.19,0.02,-0.0,-0.37,0.06,-0.0,0.12,214.38,188.0,0.0,0.0,0.0,0.0
