timestamp_ns,time_ms,voltage_left,current_left_a,voltage_right,current_right_a,motor_current_left,motor_current_right,euler_x,euler_y,euler_z,acc_lin_x,acc_lin_y,acc_lin_z,sonar_mm,tof_mm,rpm_left,rpm_right,rotations_left,rotations_right
1764886713371179747,1768,11.08,2.5,11.108,-8.3,1.39,-0.1,0.0,0.06,14.31,-0.02,0.05,-0.19,12048.56,193.0,0.0,0.0,0.0,
1764886713481785394,1886,10.936,4.6,11.132,-7.6,1.15,-0.06,0.0,0.06,14.31,0.0,0.0,-0.03,12050.45,193.0,0.0,0.0,0.0,
1764886713604705741,1998,10.176,4.9,10.792,-7.8,1.13,0.04,0.0,0.06,14.31,0.0,0.0,-0.01,12049.08,195.0,0.0,0.0,0.0,
1764886713821019556,2120,10.404,4.8,10.74,-7.6,1.25,0.08,0.0,0.06,14.31,0.0,0.0,-0.04,12048.56,193.0,0.0,0.0,0.0,
1764886713846362254,2238,9.908,4.8,10.916,-8.3,1.21,0.02,0.0,0.06,14.31,0.0,0.0,-0.03,12049.42,192.0,0.0,0.0,0.0,
1764886713961066356,2364,11.028,4.7,11.112,-7.7,1.21,0.0,0.0,0.06,14.31,0.0,0.0,0.01,12049.93,192.0,0.0,0.0,0.0,
1764886714079855448,2476,9.816,4.3,10.796,-8.1,1.15,-0.08,0.0,0.06,14.31,0.0,0.0,-0.01,12049.08,194.0,0.0,0.0,0.0,
1764886714202742354,2596,10.036,3.9,11.128,-7.5,1.35,-0.12,0.0,0.06,14.31,0.0,0.0,-0.04,12048.9,193.0,0.0,0.0,0.0,
1764886714321494298,2718,10.064,4.8,10.748,-6.5,1.17,0.06,0.0,0.06,14.31,0.0,0.0,-0.01,12048.22,194.0,0.0,0.0,0.0,
1764886714432093378,2837,10.6,4.1,11.02,-8.0,1.33,-0.16,0.0,0.06,14.31,0.0,-0.01,-0.02,12049.76,194.0,0.0,0.0,0.0,
1764886714550907529,2950,9.888,4.0,11.012,-7.5,1.09,-0.02,0.0,0.06,14.31,0.0,0.0,-0.02,12048.73,193.0,0.0,0.0,0.0,
1764886714673795213,3067,11.104,5.0,10.864,-7.6,1.05,-0.08,0.0,0.06,14.31,0.0,0.0,-0.03,12048.05,194.0,0.0,0.0,0.0,
1764886714889013858,3189,10.604,5.0,10.732,-8.5,1.23,-0.14,0.0,0.06,14.31,0.0,0.01,-0.01,12049.25,194.0,0.0,0.0,0.0,
1764886714907277088,3308,9.704,4.9,10.624,-7.7,1.19,-0.08,0.0,0.06,14.31,-0.01,0.01,0.0,12050.45,194.0,0.0,0.0,0.0,
1764886715026057088,3423,9.856,4.1,11.124,-8.9,1.21,-0.1,0.0,0.06,14.31,0.0,0.0,-0.03,12050.1,193.0,0.0,0.0,0.0,
1764886715144862392,3542,9.688,4.6,11.048,-8.4,1.07,-0.08,0.0,0.06,14.31,0.01,-0.01,-0.01,12051.13,195.0,0.0,0.0,0.0,
1764886715267729401,3661,10.596,4.7,11.088,-7.9,1.11,-0.14,0.0,0.06,14.31,0.0,0.0,-0.04,12049.93,193.0,0.0,0.0,0.0,
1764886715382368884,3784,9.712,5.0,11.104,-7.0,1.15,-0.2,0.0,0.06,14.31,0.0,0.0,0.0,12049.76,193.0,0.0,0.0,0.0,
1764886715501190115,3898,10.0,5.1,11.06,-8.2,1.27,-0.06,0.0,0.06,14.31,0.01,0.0,-0.01,12047.19,193.0,0.0,0.0,0.0,
1764886715717021442,4017,9.852,5.0,11.096,-8.6,1.23,-0.14,0.0,0.06,14.31,0.01,0.01,-0.02,12044.79,194.0,0.0,0.0,0.0,
1764886715738774147,4137,9.86,4.4,11.112,-8.4,1.09,-0.14,0.0,0.06,14.31,0.0,0.0,-0.01,12045.3,194.0,0.0,0.0,0.0,
1764886715863494742,4256,10.548,4.6,10.6,-8.4,1.35,-0.02,0.0,0.06,14.31,0.0,0.0,-0.01,12045.65,194.0,0.0,0.0,0.0,
1764886715976339216,4373,11.064,4.0,11.108,-8.5,1.11,-0.08,0.0,0.06,14.31,0.0,0.0,-0.03,12049.93,194.0,0.0,0.0,0.0,
1764886716095131982,4492,9.844,4.2,10.944,-7.6,1.25,-0.18,0.0,0.06,14.31,0.01,-0.01,-0.06,12048.05,194.0,0.0,0.0,0.0,
1764886716213941297,4612,10.172,4.8,11.104,-7.4,1.19,-0.02,0.0,0.06,14.31,0.0,0.02,0.0,12047.7,194.0,0.0,0.0,0.0,
1764886716332702035,4732,10.896,4.7,10.956,-8.7,1.37,0.04,0.0,0.06,14.31,0.01,0.0,0.0,12048.9,194.0,0.0,0.0,0.0,
1764886716451490218,4848,10.324,4.9,10.74,-7.2,1.07,0.0,0.0,0.06,14.31,0.0,0.0,-0.01,12048.73,194.0,0.0,0.0,0.0,
1764886716566131389,4967,10.384,4.5,11.044,-8.2,1.25,-0.12,0.0,0.06,14.31,0.01,-0.01,-0.04,12047.7,192.0,0.0,0.0,0.0,
