timestamp_ns,time_ms,voltage_left,current_left_ma,voltage_right,current_right_ma,motor_current_left,motor_current_right,euler_x,euler_y,euler_z,acc_lin_x,acc_lin_y,acc_lin_z,sonar_mm,tof_mm,rpm_left,rpm_right,rotations_left,rotations_right
1768600212574936943,323442,0.0,-0.23,-0.31,5.5,19.0,0.17,0.16,-0.11,237.7,263.0,0.0,0.0,0.0,,,,,
1768600216351014079,2767764,,,,,,,,,,,,,,,,,,
1768600216518654716,2874,0.0,0.6,0.0,0.3,-0.04,-0.18,0.06,5.13,18.94,0.01,-0.07,0.02,239.41,263.0,0.0,0.0,0.0,
1768600216616934442,3043,0.0,0.7,0.008,0.1,-0.02,-0.02,0.0,5.13,18.94,-0.03,-0.08,0.02,238.9,263.0,0.0,0.0,0.0,
1768600216719346508,3143,0.0,1.1,0.004,-0.1,-0.16,-0.06,0.06,5.19,18.94,0.17,0.06,-0.01,239.41,263.0,0.0,0.0,0.0,
1768600216817583346,3244,0.0,0.8,0.0,0.3,-0.1,-0.12,0.06,5.19,18.94,0.03,-0.07,-0.03,237.7,263.0,0.0,0.0,0.0,
1768600216920062836,3344,0.0,1.0,0.004,0.5,-0.04,-0.06,0.06,5.19,18.94,0.07,0.0,0.02,238.38,263.0,0.0,0.0,0.0,
1768600217018348747,3444,0.0,0.9,0.0,0.5,0.08,0.0,0.06,5.19,18.94,0.07,0.0,0.03,238.38,263.0,0.0,0.0,0.0,
1768600217120733169,3544,0.0,0.9,0.004,0.5,-0.14,0.04,0.06,5.25,18.94,0.03,-0.02,-0.05,238.73,263.0,0.0,0.0,0.0,
1768600217219044027,3644,0.0,0.7,0.0,0.3,-0.04,-0.06,0.06,5.25,18.94,0.11,0.05,-0.03,238.38,263.0,0.0,0.0,0.0,
1768600217321426097,3744,0.0,1.4,0.008,0.3,-0.06,-0.12,0.06,5.25,18.94,-0.02,-0.09,-0.02,239.24,262.0,0.0,0.0,0.0,
