timestamp_ns,fix_time,fix_date,gga_fix_quality,avg_snr,latitude,longitude,altitude_m,speed_over_ground,true_course,num_of_fix_satellites,hdop,vdop,pdop,geoid_separation
1770043927504794570,14:52:06,2026-02-02,Fixed,42.92857,35.798594916666666,-78.66198411666667,113.605,0.077,120.35,30,0.45,0.82,0.93,-33.033
1770043928484100125,14:52:07,2026-02-02,Fixed,42.142857,35.798595066666664,-78.66198423333333,113.526,0.084,120.35,30,0.45,0.82,0.94,-33.034
1770043929442808067,14:52:08,2026-02-02,Fixed,42.392857,35.798594933333334,-78.66198421666667,113.611,0.08,120.35,30,0.46,0.83,0.95,-33.034
1770043930483585248,14:52:09,2026-02-02,Fixed,42.42857,35.798594933333334,-78.66198418333333,113.578,0.062,120.35,30,0.46,0.83,0.95,-33.034
1770043931451403195,14:52:10,2026-02-02,Fixed,42.25,35.79859483333333,-78.6619842,113.569,0.066,120.35,30,0.46,0.83,0.95,-33.033
1770043932511555711,14:52:11,2026-02-02,Fixed,42.464287,35.79859486666667,-78.66198421666667,113.657,0.088,120.35,30,0.47,0.83,0.95,-33.034
1770043933437555026,14:52:12,2026-02-02,Fixed,43.214287,35.798595,-78.66198435,113.542,0.092,120.35,30,0.46,0.82,0.94,-33.034
1770043934502728352,14:52:13,2026-02-02,Fixed,43.5,35.79859495,-78.6619844,113.607,0.093,120.35,30,0.46,0.82,0.94,-33.034
1770043935494255706,14:52:14,2026-02-02,Fixed,42.714287,35.79859496666667,-78.66198425,113.592,0.107,120.35,30,0.46,0.82,0.94,-33.033
1770043936526647278,14:52:15,2026-02-02,Fixed,42.32143,35.798594933333334,-78.66198418333333,113.586,0.112,120.35,30,0.48,0.83,0.95,-33.034
1770043937464767138,14:52:16,2026-02-02,Fixed,41.857143,35.79859508333333,-78.66198423333333,113.59,0.115,120.35,30,0.49,0.85,0.98,-33.034
1770043938538209125,14:52:17,2026-02-02,Fixed,42.285713,35.7985951,-78.66198421666667,113.602,0.124,120.35,30,0.49,0.85,0.98,-33.034
1770043939288814339,14:52:18,2026-02-02,Fixed,42.17857,35.798594316666666,-78.6619863,113.082,0.107,120.35,30,0.49,0.87,1.0,-33.033
