timestamp_ns,fix_time,fix_date,gga_fix_quality,avg_snr,latitude,longitude,altitude_m,speed_over_ground,true_course,num_of_fix_satellites,hdop,vdop,pdop,geoid_separation
1771346480445603006,00:19:44.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771346480447868625,00:19:45.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771346480448840646,00:19:46.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771346480452307909,00:19:47.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771346480454243546,00:19:48.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771346480456513535,00:19:49.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771346480457339554,00:19:50.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771346480460940617,00:19:51.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771346480462202791,00:19:52.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771346480465770728,00:19:53.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771346480520304872,00:19:54.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771346480521226103,00:19:55.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771346481327658565,00:19:56.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771346482330091386,00:19:57.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771346483326224425,00:19:58.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771346484325452755,00:19:59.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771346485325320291,00:20:00.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771346486324290182,00:20:01.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771346487323367405,00:20:02.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771346488323136841,00:20:03.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771346489325620749,00:20:04.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771346490324870067,00:20:05.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771346491324959183,00:20:06.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771346492322524846,00:20:07.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771346493322856153,00:20:08.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771346494326761481,00:20:09.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771346495325879993,00:20:10.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771346496324831343,00:20:11.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771346497324380670,00:20:12.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771346498327600965,00:20:13.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771346499330842906,00:20:14.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771346500333991725,00:20:15.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
1771346501333379115,00:20:16.012,2080-01-06,Invalid,,,,,,,0,99.99,99.99,99.99,
